Flow ID,Local,Local_1,Local_2,Local_3,Local_4,Local_5,Local_6,Local_7,Local_8,Local_9,Local_10,Local_11,Local_12,Local_13,Local_14,Src IP dec,Src Port,Dst IP dec,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
192.168.10.9-52.197.242.182-13793-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13793,885387958,443,6,43:34.8,187889,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.64458271,187889.0,0.0,187889,187889,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.322291353,5.322291353,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,187889,BENIGN,-1
192.168.10.9-52.197.242.182-13793-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13793,885387958,443,6,43:35.5,187758,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.6520095,187758.0,0.0,187758,187758,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.326004751,5.326004751,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,187758,BENIGN,-1
192.168.10.9-54.65.28.113-13794-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13794,910236785,443,6,43:36.4,189882,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.53285725,189882.0,0.0,189882,189882,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.266428624,5.266428624,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,189882,BENIGN,-1
192.168.10.9-54.65.28.113-13794-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13794,910236785,443,6,43:37.1,190117,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.51983778,190117.0,0.0,190117,190117,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.259918892,5.259918892,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,190117,BENIGN,-1
192.168.10.9-52.197.242.182-13796-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13796,885387958,443,6,43:38.0,188603,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.60428519,188603.0,0.0,188603,188603,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.302142596,5.302142596,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,188603,BENIGN,-1
192.168.10.9-52.197.242.182-13799-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13799,885387958,443,6,43:38.2,191770,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.42915993,191770.0,0.0,191770,191770,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.214579966,5.214579966,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,191770,BENIGN,-1
192.168.10.9-52.197.242.182-13796-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13796,885387958,443,6,43:38.7,188602,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.60434142,188602.0,0.0,188602,188602,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.302170709,5.302170709,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,188602,BENIGN,-1
192.168.10.9-52.197.242.182-13799-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13799,885387958,443,6,43:38.9,191978,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.41786038,191978.0,0.0,191978,191978,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.20893019,5.20893019,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,191978,BENIGN,-1
192.168.10.9-54.65.28.113-13801-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13801,910236785,443,6,43:39.6,188503,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.60991072,188503.0,0.0,188503,188503,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.304955359,5.304955359,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,188503,BENIGN,-1
192.168.10.9-54.65.28.113-13802-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13802,910236785,443,6,43:39.8,192830,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.37183011,192830.0,0.0,192830,192830,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.185915055,5.185915055,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,192830,BENIGN,-1
192.168.10.9-54.65.28.113-13801-443-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232238089,13801,910236785,443,6,43:40.3,188462,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.61221891,188462.0,0.0,188462,188462,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,5.306109454,5.306109454,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,188462,BENIGN,-1
